boundary,external_id
"MULTIPOLYGON (((126.6760463 -8.5684699, 126.6761304 -8.5685296, 126.6760312 -8.5687749, 126.67563524097206 -8.569121674277769, 126.67533181607722 -8.569035475588878, 126.675304 -8.568884, 126.6754891 -8.5686615, 126.6758448 -8.5685415, 126.6759249 -8.5685007, 126.6760463 -8.5684699)))",1
"MULTIPOLYGON (((126.6801323 -8.5671915, 126.68064627796412 -8.567621151233794, 126.68012659996747 -8.567990812232846, 126.67991269379853 -8.567771336418456, 126.67973835021257 -8.567535946809056, 126.67976852506399 -8.56738244618249, 126.6801323 -8.5671915)))",2
"MULTIPOLYGON (((126.664337776601 -8.64235065736544, 126.664216071367 -8.64226281800102, 126.664010211825 -8.64195521432952, 126.66410217 -8.64185909, 126.664124876261 -8.64178351303305, 126.664228141308 -8.64170694351076, 126.66436673 -8.64168638, 126.66450407356 -8.64170793792024, 126.664549671113 -8.64164628452752, 126.664643883705 -8.64160650813975, 126.664754860103 -8.64166584124995, 126.664797440171 -8.64171788201489, 126.664997935295 -8.64197145634, 126.66501570493 -8.64200924387188, 126.665087118745 -8.64205830136377, 126.665177978575 -8.64219519824993, 126.66514378041 -8.64249120030595, 126.665104217827 -8.64253263394588, 126.665037497878 -8.64256379204009, 126.665010675788 -8.64272720625801, 126.665003634989 -8.64280278116646, 126.664974801242 -8.64284752946039, 126.664964072406 -8.64294929037569, 126.664911434054 -8.64304508482784, 126.664862819016 -8.64306364707181, 126.664720661938 -8.64305038832621, 126.66472578 -8.64294894, 126.66447694 -8.64269422, 126.664327718318 -8.64257870814811, 126.664347499609 -8.64244181140123, 126.664337776601 -8.64235065736544)))",3
"MULTIPOLYGON (((126.651550680399 -8.63931372376341, 126.651546992362 -8.63931272934762, 126.65162242949 -8.6392878689519, 126.651842370629 -8.63921759689117, 126.652040183544 -8.63928952631167, 126.651953011751 -8.63937637195318, 126.651846393943 -8.63953150075923, 126.651803143322 -8.639586525064, 126.651713959873 -8.63966077471553, 126.651576831937 -8.63977148622236, 126.651553027332 -8.63979270039959, 126.65131162852 -8.64011356468477, 126.651154719293 -8.64013676767001, 126.651048772037 -8.64011787381071, 126.650945171714 -8.6400976540655, 126.65091432631 -8.64004395572048, 126.650868728757 -8.63992396309471, 126.650954224169 -8.63984739319478, 126.651020273566 -8.63990506922475, 126.651166789234 -8.63986893883919, 126.651282794774 -8.63966342648853, 126.65137398988 -8.63961171691169, 126.651404835284 -8.63953713577877, 126.6514692083 -8.63948840943062, 126.651482284069 -8.63944863281522, 126.651492007077 -8.63937106840312, 126.651550680399 -8.63931372376341)))",4
"MULTIPOLYGON (((126.66981484740973 -8.643672885929016, 126.66967503726482 -8.643477651168514, 126.66960395872594 -8.643190599537308, 126.66894312947987 -8.642418940027047, 126.66911914944649 -8.642080178351337, 126.66922308504581 -8.641944607301891, 126.66943430900574 -8.642464351304854, 126.66975416243075 -8.642715936314213, 126.66995670830005 -8.642757910980215, 126.67017978971359 -8.642680193982029, 126.6703673824668 -8.642577713740918, 126.67094506323338 -8.642698699928935, 126.67113281786443 -8.64319689743919, 126.67067885398865 -8.64351245533526, 126.67029093950985 -8.643671560056632, 126.67007233947514 -8.64371299356679, 126.66981484740973 -8.643672885929016)))",5
"MULTIPOLYGON (((126.7050856 -8.5800949, 126.7048723 -8.5802289, 126.7047305 -8.5802116, 126.7044375 -8.580031, 126.7044348 -8.5798082, 126.704473 -8.579594, 126.7046702 -8.5794962, 126.70484483242035 -8.579344700136458, 126.70474492013453 -8.57911826886118, 126.70499168336393 -8.579112301417249, 126.7052767 -8.5793911, 126.7054188 -8.5795439, 126.7054232 -8.5796792, 126.7051942 -8.5799617, 126.7050856 -8.5800949)))",6
"MULTIPOLYGON (((126.63544401526451 -8.623700078359857, 126.63548357784748 -8.623775657078948, 126.63541316986084 -8.623892339983973, 126.63522072136402 -8.623816429802691, 126.63507655262947 -8.6237965406697, 126.6351167857647 -8.623737867721285, 126.63523748517036 -8.623645714710467, 126.63525123149157 -8.623513451896665, 126.63523379713297 -8.623461077135543, 126.63525927811861 -8.623428260034673, 126.63533337414265 -8.62337920012101, 126.63538534194231 -8.62357179339417, 126.63541451096533 -8.623646046196157, 126.63544401526451 -8.623700078359857)))",7
"MULTIPOLYGON (((126.712230630219 -8.579077822850502, 126.71216256916523 -8.579185899885795, 126.71201672405006 -8.579193524951545, 126.71172972768544 -8.579208443557992, 126.71160634607075 -8.579094730609585, 126.71159896999596 -8.578890842876316, 126.71169083565474 -8.578711487885503, 126.71186283230782 -8.578669384206252, 126.71213004738094 -8.578681319107927, 126.71220850199461 -8.578946539048466, 126.71222325414419 -8.578988974221767, 126.712230630219 -8.579077822850502)))",8
"MULTIPOLYGON (((126.68623063713312 -8.570875813351353, 126.68641307786514 -8.570898205101978, 126.68651482218466 -8.571100993168624, 126.68662995100021 -8.570981903529074, 126.68681703507899 -8.571053514382283, 126.68678984979836 -8.571247189149561, 126.68673738788361 -8.571317929120156, 126.6865577455695 -8.571402817067492, 126.68629861550572 -8.571288061134176, 126.6861762043713 -8.571339937108323, 126.6860656812787 -8.571064786459798, 126.68623063713312 -8.570875813351353)))",9
"MULTIPOLYGON (((126.68503769016 -8.56853920770969, 126.68503903278506 -8.567857744996545, 126.68514789291608 -8.567758641137072, 126.68554795389758 -8.567680832303685, 126.68581679109077 -8.568092692413813, 126.685791946071 -8.56828986830323, 126.685807384058 -8.56846215240037, 126.685789005502 -8.56865697145415, 126.685624333646 -8.56892448402209, 126.68549935947 -8.56884161330105, 126.685349390459 -8.56890849142821, 126.685261173393 -8.56890412981158, 126.68503769016 -8.56853920770969)))",10
"MULTIPOLYGON (((126.6753739 -8.6387342, 126.6753737 -8.6387346, 126.6755454 -8.6390199, 126.6754824 -8.6391815, 126.6750425 -8.6392365, 126.6745821 -8.6398654, 126.6745758 -8.639928, 126.674564 -8.6399576, 126.6745106 -8.6400485, 126.6745086 -8.6400593, 126.6744281883266 -8.64013948840245, 126.6742492 -8.6399309, 126.67406448659337 -8.639569403527558, 126.67400003312159 -8.639441959285957, 126.67390335291401 -8.639234862301489, 126.67381357843551 -8.638865614923384, 126.67384638064878 -8.638822374836971, 126.67388839050085 -8.638795065306155, 126.67400808980551 -8.638765479978877, 126.6741254872004 -8.63874841151977, 126.67418994067211 -8.638711998804437, 126.6741288 -8.6385941, 126.674315258861 -8.63844195157711, 126.674506701529 -8.63838626415985, 126.674529500306 -8.63836538137626, 126.6746002 -8.6383609, 126.6746547 -8.6383489, 126.6746992 -8.6383483, 126.6747604 -8.6382903, 126.67480656473428 -8.638263666958728, 126.67484051790242 -8.63827220119935, 126.67486296152208 -8.63828870073066, 126.6749715 -8.6383867, 126.6751159 -8.6384638, 126.6751623 -8.6384725, 126.6752376 -8.638499, 126.6753311 -8.638539, 126.6753895 -8.6386328, 126.675393 -8.638686, 126.6753735 -8.6387145, 126.6753739 -8.6387342)))",11
