external_id,ph,rainfall_mm,temperature_celsius,elevation_m,area_ha,longitude,latitude,soil_texture_id,coastal,slope,riparian,nitrogen_fixing,shade_tolerant,bank_stabilising
1,6.2,1959,24,585,0.36,126.6757,-8.5688,12,False,13.11,False,False,False,False
2,6.2,1959,24,481,0.48,126.68015,-8.56758,12,False,13.94,False,False,False,False
3,8.2,2021,25,179,1.18,126.66465,-8.64226,3,False,11.15,False,False,False,False
4,5.9,2554,24,260,0.46,126.65146,-8.63969,3,False,15.55,False,False,False,False
5,7.0,2021,25,129,2.0,126.67008,-8.643,12,False,7.62,True,False,False,False
6,7.0,2011,23,658,0.85,126.70491,-8.5797,12,False,9.17,False,False,False,False
7,6.2,2554,20,1313,0.116,126.63531,-8.62368,12,False,30.08,False,False,False,False
8,7.0,1959,24,451,0.31,126.68644,-8.57115,12,False,17.74,False,False,False,False
9,7.0,1959,24,421,0.96,126.68542,-8.5683,12,False,8.0,False,False,False,False
10,7.0,2021,25,127,2.1,126.67462,-8.63907,12,False,7.48,True,False,False,False
11,7.0,2021,25,198,1.73,126.68671,-8.64148,12,False,10.62,False,False,False,False
12,6.2,1959,24,551,0.22,126.68032,-8.5557,8,False,21.89,True,False,False,False
13,5.9,2021,25,373,0.06,126.65402,-8.6246,3,False,11.32,False,False,False,False
14,5.9,2554,24,247,0.44,126.65225,-8.63869,3,False,4.94,True,False,False,False
15,8.2,1821,25,124,0.27,126.73577,-8.65783,3,False,8.67,False,False,False,False
16,6.2,2554,23,957,0.66,126.64524,-8.61346,12,False,27.03,False,False,False,False
17,7.0,2021,24,300,0.8,126.69405,-8.63508,12,False,17.22,False,False,False,False
18,6.2,2554,23,887,0.24,126.64588,-8.61435,12,False,37.33,False,False,False,False
19,6.2,2554,23,930,0.24,126.64648,-8.61341,12,False,33.62,False,False,False,False
20,6.2,2153,23,731,0.6,126.64158,-8.59225,12,False,30.5,False,False,False,False
21,8.2,1968,24,579,0.83,125.06461,-9.31068,3,False,12.13,False,False,False,False
22,8.2,1968,24,582,0.89,125.06504,-9.3105,3,False,14.85,False,False,False,False
23,8.2,1968,24,638,0.94,125.06421,-9.31784,3,False,14.44,False,False,False,False
24,8.2,1968,24,635,0.95,125.06405,-9.31848,3,False,14.8,False,False,False,False
25,8.2,1968,24,589,0.62,125.07007,-9.31479,3,False,9.22,False,False,False,False
26,7.545223186741762,1580,26,129,0.51,125.20704,-9.36361,4,False,1.89,True,False,False,False
27,7.544927549110261,1580,26,129,0.2,125.21147,-9.37062,4,False,1.8,False,False,False,False
28,7.5,1580,26,129,0.29,125.21397,-9.37077,4,False,3.61,False,False,False,False
29,7.765402515250329,1580,26,129,1.43,125.20925,-9.37141,4,False,1.69,False,False,False,False
30,7.5,1580,27,129,0.43,125.20727,-9.36174,4,False,2.26,False,False,False,False
31,8.08916414776594,1580,26,129,0.45,125.20892,-9.37376,4,False,3.13,False,False,False,False
32,7.5,1668,26,129,1.02,125.17851,-9.35969,4,False,3.27,False,False,False,False
33,8.3,1580,26,129,1.25,125.21114,-9.37893,4,False,3.65,False,False,False,False
34,7.5,1580,26,129,4.86,125.21549,-9.37718,4,False,3.47,False,False,False,False
35,7.5,1538,26,129,1.79,125.20159,-9.40113,4,False,2.54,False,False,False,False
36,8.3,1538,26,9,0.95,125.20245,-9.40063,4,True,2.46,False,False,False,False
37,7.551495856300346,1580,26,129,0.58,125.21272,-9.37051,4,False,2.35,False,False,False,False
38,8.5,1607,26,129,2.01,125.18905,-9.39951,3,False,2.33,False,False,False,False
39,7.2,1734,24,430,0.2,125.11843,-9.34755,12,False,6.41,False,False,False,False
40,6.7,1798,24,382,3.95,125.1301,-9.34682,12,False,13.41,True,False,False,False
41,6.5,1734,25,129,1.16,125.14993,-9.38211,12,False,1.58,True,False,False,False
42,6.5,1734,25,129,0.82,125.14943,-9.38105,12,False,5.06,False,False,False,False
43,6.7,1734,25,129,1.18,125.14876,-9.38136,12,False,4.48,True,False,False,False
44,6.5,1734,25,129,0.77,125.14991,-9.38068,12,False,6.14,False,False,False,False
45,7.8,1862,24,549,2.13,125.10262,-9.33837,12,False,16.5,False,False,False,False
46,7.9,1580,26,129,0.24,125.19939,-9.37981,4,False,2.17,False,False,False,False
47,7.6460318334353286,1580,26,129,0.54,125.21132,-9.37399,4,False,2.05,False,False,False,False
48,8.3,1538,26,9,0.23,125.20297,-9.39985,4,True,2.96,False,False,False,False
49,8.2,1968,24,579,0.62,125.0682,-9.32987,3,False,9.76,False,False,False,False
50,6.6,1968,24,573,0.67,125.06828,-9.33056,3,False,11.63,False,False,False,False
51,8.2,1968,24,516,0.78,125.07454,-9.30655,3,False,11.24,False,False,False,False
52,8.2,1968,24,519,0.67,125.07436,-9.30604,3,False,9.31,False,False,False,False
53,8.2,1968,24,547,1.95,125.0637,-9.30691,3,False,14.19,False,False,False,False
54,7.614554418770897,1580,26,129,0.68,125.21175,-9.37372,4,False,2.4,False,False,False,False
55,8.2,2202,23,718,1.6,125.02707,-9.2764,3,False,10.58,False,False,False,False
56,8.2,2202,23,929,0.48,125.00883,-9.27592,3,False,24.19,False,False,False,False
57,6.6,2366,22,736,1.67,125.1792,-9.20738,3,False,12.15,False,False,False,False
58,6.6,2366,22,698,0.38,125.18121,-9.20837,3,False,7.9,False,False,False,False
59,6.2,2449,22,815,0.4,125.17836,-9.19996,12,False,8.83,False,False,False,False
60,8.2,2202,23,956,2.62,125.00727,-9.27875,3,False,19.0,False,False,False,False
61,8.2,2202,23,951,0.22,125.00758,-9.24865,3,False,3.45,False,False,False,False
62,8.2,2202,23,951,0.39,125.0097,-9.25088,3,False,9.25,False,False,False,False
63,6.6,2366,24,289,1.29,125.18591,-9.23791,3,False,9.5,False,False,False,False
64,6.6,2366,24,315,1.3,125.18925,-9.23283,3,False,16.19,False,False,False,False
65,6.6,2366,24,309,1.02,125.19083,-9.2304,3,False,5.06,False,False,False,False
66,6.6,2366,24,415,0.74,125.18623,-9.23169,3,False,11.63,False,False,False,False
67,6.5,2449,23,629,4.94,125.18253,-9.18582,8,False,9.32,True,False,False,False
