rainfall_mm,temperature_celsius,elevation_m,ph,soil_texture_id,area_ha,latitude,longitude,coastal,riparian,nitrogen_fixing,shade_tolerant,bank_stabilising,slope,user_id,external_id
1958,23,585,6.2,12,0.37,-8.568797642,126.6757037,FALSE,FALSE,,,,13.11432311,,1
1958,23,481,6.2,12,0.49,-8.567577724,126.680149,FALSE,FALSE,,,,13.93727202,,2
2020,25,179,8.2,3,1.22,-8.642258981,126.6646508,FALSE,FALSE,,,,11.15152638,,3
2553,24,259,5.9,3,0.47,-8.639689701,126.6514579,FALSE,FALSE,,,,15.55242379,,4
2020,25,129,7,12,2.05,-8.643001397,126.6700838,FALSE,TRUE,,,,7.615144358,,5
2011,23,658,7,12,0.87,-8.579704096,126.7049109,FALSE,FALSE,,,,9.16786922,,6
2553,19,1312,6.2,12,0.12,-8.623681835,126.6353088,FALSE,FALSE,,,,30.07806001,,7
2011,23,745,7,12,0.36,-8.578946397,126.7119112,FALSE,FALSE,,,,20.86042451,,8
1958,24,451,7,12,0.32,-8.571145324,126.6864361,FALSE,FALSE,,,,17.73730906,,9
1958,24,421,7,12,0.98,-8.568298684,126.6854162,FALSE,FALSE,,,,7.997971483,,10
2020,25,127,7,12,2.15,-8.639065731,126.674616,FALSE,TRUE,,,,7.479811999,,11
2020,25,198,7,12,1.77,-8.641478337,126.6867108,FALSE,FALSE,,,,10.62135203,,12
1958,23,550,6.2,8,0.23,-8.555700645,126.680316,FALSE,TRUE,,,,21.89291788,,13
2020,24,373,5.9,3,0.06,-8.62460071,126.6540229,FALSE,FALSE,,,,11.31562491,,14
2553,24,246,5.9,3,0.45,-8.638688565,126.6522496,FALSE,TRUE,,,,4.935338263,,15
2553,23,957,6.2,12,0.68,-8.613457084,126.6452377,FALSE,FALSE,,,,27.03149651,,17
2020,24,300,7,12,0.82,-8.635077215,126.6940513,FALSE,FALSE,,,,17.22184564,,18
2553,23,887,6.2,12,0.25,-8.614348704,126.6458764,FALSE,FALSE,,,,37.33488189,,19
2553,23,930,6.2,12,0.25,-8.613405599,126.6464809,FALSE,FALSE,,,,33.61732781,,20
1967,24,579,8.2,3,0.81,-9.31067823,125.0646062,FALSE,FALSE,,,,12.13465243,,22
1967,24,582,8.2,3,0.93,-9.310502312,125.0650436,FALSE,FALSE,,,,14.85495336,,23
2059,23,670,8.2,3,2.14,-9.308452165,125.053319,FALSE,FALSE,,,,13.55482832,,228
1967,24,637,8.2,3,0.97,-9.317842086,125.0642102,FALSE,FALSE,,,,14.43861563,,24
1967,24,635,8.2,3,0.99,-9.318480597,125.0640532,FALSE,FALSE,,,,14.80490283,,25
1967,24,589,8.2,3,0.63,-9.314785179,125.0700661,FALSE,FALSE,,,,9.218781336,,26
2448,22,824,6,3,1.25,-9.186481924,125.1648406,FALSE,FALSE,,,,11.27137781,,127
2448,22,858,6,3,0.62,-9.188057359,125.1645159,FALSE,FALSE,,,,13.50894725,,128
2448,22,800,6,3,0.45,-9.185609659,125.1678109,FALSE,FALSE,,,,6.435797749,,129
2448,22,782,6,3,0.78,-9.184837502,125.1691391,FALSE,FALSE,,,,8.825532766,,130
2201,22,879,8.2,3,0.88,-9.28371648,125.0063124,FALSE,FALSE,,,,11.82102684,,85
2448,22,951,6.2,12,1.31,-9.192612655,125.1678577,FALSE,FALSE,,,,19.9207042,,131
2448,22,921,6.2,12,0.9,-9.192088612,125.1701213,FALSE,FALSE,,,,18.71013873,,132
2448,22,741,6.5,8,1.01,-9.187219166,125.1773272,FALSE,FALSE,,,,15.04053061,,87
2448,22,825,6,3,0.7,-9.186931859,125.165552,FALSE,FALSE,,,,11.36467779,,133
2478,22,999,6,3,0.36,-9.184524769,125.1437773,FALSE,FALSE,,,,14.38708243,,134
2478,22,1074,6.2,12,0.95,-9.189790847,125.1408962,FALSE,FALSE,,,,14.57474537,,88
2478,21,1079,6.2,12,0.95,-9.187883709,125.1459319,FALSE,FALSE,,,,12.55675811,,89
1580,25,21,7.5,4,0.3,-9.370770513,125.2139716,TRUE,FALSE,,,,3.60868395,,29
1580,26,31,7.5,4,0.45,-9.361740253,125.2072724,TRUE,FALSE,,,,2.255389914,,31
1580,25,12,7.5,4,4.92,-9.3771809,125.2154867,TRUE,FALSE,,,,3.5085674,,35
1538,25,10,7.5,4,1.89,-9.401127562,125.2015902,TRUE,FALSE,,,,2.541859197,,36
1734,24,429,7.2,12,0.21,-9.34754987,125.1184292,FALSE,FALSE,,,,6.40699091,,40
1734,24,381,6.7,12,4.08,-9.346822596,125.1301022,FALSE,TRUE,,,,13.40615751,,41
1734,25,31,6.7,12,1.22,-9.381360476,125.148759,TRUE,TRUE,,,,4.48473433,,44
1862,24,549,7.8,12,2.21,-9.338368443,125.1026206,FALSE,FALSE,,,,16.50070112,,46
2201,22,809,8.2,3,0.47,-9.268933252,125.0308376,FALSE,FALSE,,,,11.91448095,,90
2201,22,803,8.2,3,0.35,-9.269334132,125.030689,FALSE,FALSE,,,,13.24069056,,91
2478,22,1013,6.2,12,1.04,-9.188258831,125.1410117,FALSE,FALSE,,,,19.34031687,,92
