id,rainfall_mm,temperature_celsius,elevation_m,ph,soil_texture,area_ha,slope,latitude,longitude,coastal,riparian,is_predicted
1,1958,23,585,6.2,clay,0.37,13.114323106482992,-8.568797642,126.67570371004771,False,False,False
2,1958,23,481,6.2,clay,0.49,13.937272016533116,-8.567577724,126.6801490304009,False,False,False
3,2020,25,179,8.2,sandy loam,1.22,11.151526375480836,-8.642258981,126.6646508,False,False,False
4,2553,24,259,5.9,sandy loam,0.47,15.552423786270664,-8.639689701,126.65145787343464,False,False,False
5,2020,25,129,7.0,clay,2.05,7.615144358326731,-8.643001397,126.67008379416532,False,True,False
6,2011,23,658,7.0,clay,0.87,9.167869219823912,-8.579704096,126.70491088925353,False,False,False
7,2553,19,1312,6.2,clay,0.12,30.078060005274164,-8.623681835,126.63530884817372,False,False,False
8,2011,23,745,7.0,clay,0.36,20.86042450881889,-8.578946397,126.71191118909366,False,False,False
9,1958,24,451,7.0,clay,0.32,17.737309056766225,-8.571145324,126.68643609961856,False,False,False
10,1958,24,421,7.0,clay,0.98,7.997971483267433,-8.568298684,126.6854161593816,False,False,False
11,2020,25,127,7.0,clay,2.15,7.479811999395388,-8.639065731,126.67461600480028,False,True,False
12,2020,25,198,7.0,clay,1.77,10.621352031982465,-8.641478337,126.68671078679677,False,False,False
13,1958,23,550,6.2,clay loam,0.23,21.89291788189873,-8.555700645,126.68031599441176,False,True,False
14,2020,24,373,5.9,sandy loam,0.06,11.315624906708132,-8.62460071,126.6540229329048,False,False,False
15,2553,24,246,5.9,sandy loam,0.45,4.935338263390106,-8.638688565,126.65224964073992,False,True,False
17,2553,23,957,6.2,clay,0.68,27.031496508872586,-8.613457084,126.64523771289602,False,False,False
18,2020,24,300,7.0,clay,0.82,17.22184563970792,-8.635077215,126.69405132386797,False,False,False
19,2553,23,887,6.2,clay,0.25,37.33488189,-8.614348704,126.64587635427765,False,False,False
20,2553,23,930,6.2,clay,0.25,33.61732780887754,-8.613405599,126.64648094113431,False,False,False
22,1967,24,579,8.2,sandy loam,0.81,12.13465242523902,-9.31067823,125.06460620064856,False,False,False
23,1967,24,582,8.2,sandy loam,0.93,14.854953363410386,-9.310502312,125.06504362480293,False,False,False
228,2059,23,670,8.2,sandy loam,2.14,13.554828320878835,-9.308452165,125.05331896723696,False,False,False
24,1967,24,637,8.2,sandy loam,0.97,14.438615626978208,-9.317842086,125.06421020992126,False,False,False
25,1967,24,635,8.2,sandy loam,0.99,14.80490283119374,-9.318480597,125.06405324749616,False,False,False
26,1967,24,589,8.2,sandy loam,0.63,9.218781335685655,-9.314785179,125.07006609079964,False,False,False
127,2448,22,824,6.0,sandy loam,1.25,11.27137780512021,-9.186481924,125.16484063327928,False,False,False
128,2448,22,858,6.0,sandy loam,0.62,13.50894724944044,-9.188057359,125.16451594558112,False,False,False
129,2448,22,800,6.0,sandy loam,0.45,6.4357977485977775,-9.185609659,125.16781089809255,False,False,False
130,2448,22,782,6.0,sandy loam,0.78,8.825532765532536,-9.184837502,125.1691390961621,False,False,False
85,2201,22,879,8.2,sandy loam,0.88,11.821026839859416,-9.28371648,125.0063124,False,False,False
131,2448,22,951,6.2,clay,1.31,19.9207042,-9.192612655,125.16785767515364,False,False,False
132,2448,22,921,6.2,clay,0.9,18.71013873270808,-9.192088612,125.1701213418257,False,False,False
87,2448,22,741,6.5,clay loam,1.01,15.040530608997358,-9.187219166,125.17732724210173,False,False,False
133,2448,22,825,6.0,sandy loam,0.7,11.364677792011712,-9.186931859,125.1655520107407,False,False,False
134,2478,22,999,6.0,sandy loam,0.36,14.387082434027745,-9.184524769,125.1437772884734,False,False,False
88,2478,22,1074,6.2,clay,0.95,14.574745366838451,-9.189790847,125.14089618108684,False,False,False
89,2478,21,1079,6.2,clay,0.95,12.556758108144413,-9.187883709,125.14593189778267,False,False,False
29,1580,25,21,7.5,loam,0.3,3.6086839504898647,-9.370770513,125.21397161598392,True,False,False
31,1580,26,31,7.5,loam,0.45,2.255389913940116,-9.361740253,125.20727242496145,True,False,False
35,1580,25,12,7.5,loam,4.92,3.508567400474509,-9.3771809,125.21548671873074,True,False,False
36,1538,25,10,7.5,loam,1.89,2.541859196766676,-9.401127562,125.20159019147516,True,False,False
40,1734,24,429,7.2,clay,0.21,6.406990909674606,-9.34754987,125.11842923729684,False,False,False
41,1734,24,381,6.7,clay,4.08,13.406157513417153,-9.346822596,125.13010215520926,False,True,False
44,1734,25,31,6.7,clay,1.22,4.484734330375018,-9.381360476,125.14875896929262,True,True,False
46,1862,24,549,7.8,clay,2.21,16.500701115782746,-9.338368443,125.1026205824964,False,False,False
90,2201,22,809,8.2,sandy loam,0.47,11.914480951564329,-9.268933252,125.0308376130052,False,False,False
91,2201,22,803,8.2,sandy loam,0.35,13.24069056484982,-9.269334132,125.03068896652816,False,False,False
92,2478,22,1013,6.2,clay,1.04,19.340316867435487,-9.188258831,125.14101172147102,False,False,False
93,2478,22,1021,6.2,clay,0.8,9.983011894,-9.187973935,125.14245225831988,False,False,False
94,2478,22,1008,6.2,clay,0.47,8.521787084,-9.187128294,125.14193293614905,False,False,False
135,2478,22,1001,6.0,sandy loam,0.55,13.11533838680805,-9.185282823,125.14191128297462,False,False,False
95,2201,22,870,8.2,sandy loam,1.5,18.781288934638063,-9.282785439,125.00862805277971,False,False,False
96,2201,22,799,8.2,sandy loam,0.48,11.25164230505805,-9.283472456,125.01183779277244,False,False,False
97,2201,22,909,8.2,sandy loam,0.41,12.130253980273732,-9.282576052,125.00724905488391,False,False,False
98,2201,22,846,8.2,sandy loam,0.33,18.76164460074892,-9.284393135,125.0081706426582,False,False,False
99,2201,22,861,8.2,sandy loam,0.72,16.972066175091747,-9.283969341,125.00779465165589,False,False,False
